specimen,plant_name,country,fst_political,snd_political,locality,habitat,elevation,latitude_decimal,longitude_decimal,collector,collector_number,collection_date,specimen_data,MO,NY,F,US,UC,RSA,GH,L,K,E,GOET,BR,LIL,CORD,CTES,SP,RB,REU,ANDES,SPF,CONC,SI,MOLF,LPB,USZ
LL5844,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Maule,Talca,"Road to Vilches, 26.5 km beyond main road to Laguna del Maule",Nothofagus obliqua - N. glauca forest on N facing slope.,1200,-35.7711111111111,-70.9338888888889,"L.R. Landrum, J. Bricker",5844,12-Jan-1988,Shrub ca. 4 m high. Flowers white,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,
OZ10597,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Valparaiso,Quilpues,,,400,-33.0883333333333,-71.2916666666667,O. Zöllner,10597,19-Dec-1979,,1,,,,,,,,,,,,,,,,,,,,,,,,
OZ16156,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Maule,Linares,River Achibueno sup.,,800,-35.8616666666667,-71.575,O. Zöllner,16156,18-Jan-1990,,1,,,,,,,,,,,,,,,,,,,,,,,,
OZ18152,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Valparaiso,Casablanca,,,370,-33.2988888888889,-71.3755555555556,O. Zöllner,18152,30-Nov-1991,,1,,,,,,,,,,,,,,,,,,,,,,,,
PNEsc1,Escallonia pulverulenta (Ruiz & Pav.) Pers.,Chile,Valparaiso,Aconcagua,Quebrada El Tigre,,,-32.5594722222222,-71.4433333333333,P. Necochea,PN-Esc-1,1-Nov-2005,,,,,,,,,,,,,,,,,,,,,,,,,,
OZ14647,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. glabra Engler,Chile,Santiago,Santiago,"On the mountain Halcon de Piedra, Aculeo",,1000,-33.8113888888889,-71.0116666666667,O. Zöllner,14647,9-Dec-1987,,1,,,,,,,,,,,,,,,,,,,,,,,,
PA33377,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. glabra Engler,Chile,Maule,Curico,"Los Quenes, Cañon rio Teno",,1100,-35.0111111111111,-70.7963888888889,P. Aravena,33377,,Leaves shiny and sticky.  N.V. Corontillo,1,,,,1,,,,,,,,,,,,,,,,,,,,
AC570,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Valparaiso,Los Molles,Ruta Panamericana # 5,,50,-32.2166666666667,-71.5,A.A. Cocucci,570,11-Dec-1994,,,,,,,,,,,,,,,1,,,,,,,,,,,
FM9730,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Biobio,Concepción,"8km north of Lirquen, then 5 km east along a dirt road","Shrub vegetation, edge of unused road",300,-36.7244444444444,-72.9086111111111,F.G. Meyer,9730,3-Jan-1966,"Evergreen shrub 6-10 ft. tall, forming a spreading crown and open branched; infl. Erect; fls. White, slightly fragrant.",1,,,,1,,,,1,,,,,,,,,,,,,,,,
GK408,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Biobio,Los Angeles,Mininco,,200,-37.8238888888889,-72.495,G. Kunkel,408,4-Dec-1952,,,1,,,,,,,,,,,,,,,,,,,,,,,
J1973,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Araucania,Temuco,Budi,,100,-38.8730555555556,-73.1666666666667,Bro. Claude-Joseph,,1-Jan-1923,,,,,1,,,,,,,,,,,,,,,,,,,,,
JM16716,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Valparaiso,Valparaiso,"Quebrada Verde, 5km from Valparaiso on road to Quebrada Verde",Ravines and mositer hillsides,290,-33.0705555555556,-71.6336111111111,J.L. Morrison,16716,5-Dec-1938,"Tree or shrub 4 m, flowers white, vert odoriferous",1,,,,1,,1,,1,,,,,,,,,,,,,,,,
JW4987,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Biobio,Concepción,Hills north of Concepción,Wooded slopes in mixture with other shrubs,130,-36.7836111111111,-73.0025,J. West,4987,3-Jan-1936,Shrub 3-4 m high; white flower,1,,,,1,,,,,,,,,,,,,,,,,,,,
MD4951,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Valparaiso,Petorca,ca. 38 km S of Los Vilos along Panamerican Hwy (#5); ca. 4 km S of border with Region IV & V.,Semi-arid matorral grassland,50,-32.25,-71.5333333333333,"M.O. Dillon, J.T.S. Teillier",4951,28-Nov-1987,Shrub to 3 m; flws. White.,1,,,1,,,,,,,,,,,,,,,,,,,,,
MR2,Escallonia pulverulenta (Ruiz & Pav.) Pers. var. pulverulenta ,Chile,Santiago,Santiago,,,500,-33.6080555555556,-71.3344444444444,M.C. Richter,2,31-Oct-1912,N.V. Corontillo,,1,,1,1,,,,,1,,,,,,,,,,,,,,,
AJ1598,Escallonia millegrana Griseb.,Bolivia,Santa Cruz,Cordillera,Cuevo adentro de la Sierra cerca la planchad antigua de Chevron,Bosque seco serrano de Anadenanthera/Schinopsis que col. Con campos abiertos,1385,-18.3333333333333,-64.4833333333333,"A. Jardim, N. Rosas-Hurtado",1598,22-Jan-1995,"Arbol de 8 m, ramas escamosas, exfoliadas. Flores blancas con olor dulce.",1,1,,,,,,,,,,,,,,,,,,,,,,,
AS148,Escallonia millegrana Griseb.,Argentina,Salta,Santa Victoria,Los Toldos-Pueblo,,1850,-22.2980555555556,-64.6802777777778,"A. Slanis, P. Quiroga",148,1-Jan-2002,"Arbol 4 de m de altura, flores blancas",,,,,,,,,,,,,1,,,,,,,,,,,,
AS34715,Escallonia millegrana Griseb.,Argentina,Salta,Oran,"Cordillera Oriental, Sierra de Zenta. Entre Trancas y San Andrés",,2200,-23.0833333333333,-64.8666666666667,"A. Schinini, C. Saravia-Toledo, R. Neumann",34715,21-Apr-1998,Arbol de 5 m de alt.,,1,,,,,1,,,,,,,,1,,,,,,,,,,
FZ10398A,Escallonia millegrana Griseb.,Bolivia,Tarija,Tarija,"Ruta 11 de Tarija a Entre Ríos, 47 km de Tarija",Ladera,2360,-21.4413888888889,-64.3841666666667,"F. Zuloaga, L. Aagesen, S. Sede, F. Zapata",10398A,24-Feb-2008,"Flor blanca, muy abundante.  Fotos del ambiente",1,,,,,,,,,,,,,,,,,,,,,1,,,
FZ289,Escallonia millegrana Griseb.,Bolivia,Cochabamba,Mizque,Alrededores puente río Curi,"Bosque seco, suelo arenoso, en la parte mas escarpada bajando hacia el cañón del río Curi.  Crece en simpatría total con Escallonia schreiteri.",2756,-17.8431666666667,-65.4608611111111,"F. Zapata, F. Huanca",289,25-Jul-2007,"Arbol 3 m, deciduo y en proceso de perder las hojas; madera vieja con espinas; hojas amarillas; frutos viejos.  En general hay pocos individuos en la zona, casi todos sin hojas y algunas en zonas de muy difícill acceso en la parte profunda del cañón.",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ290,Escallonia millegrana Griseb.,Bolivia,Cochabamba,Mizque,Alrededores puente río Curi,"Bosque seco, suelo arenoso, en la parte mas escarpada bajando hacia el cañón del río Curi.  Crece en simpatría total con Escallonia schreiteri.",2756,-17.8436111111111,-65.4611111111111,"F. Zapata, F. Huanca",290,25-Jul-2007,"Arbol 3 m, poco ramificado, algunos brotes jóvenes con madera rojiza, madera vieja con espinas.",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ291,Escallonia millegrana Griseb.,Bolivia,Cochabamba,Mizque,"Pasando el puente del río Curi, hacia Mizque","Bosque seco, suelo arenoso, en la parte mas escarpada bajando hacia el cañón del río Curi.",2752,-17.8464166666667,-65.45675,"F. Zapata, F. Huanca",291,25-Jul-2007,"Arbol 5 m, muy ramificado, con brotes jóvenes; madera vieja con epinas.",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ311,Escallonia millegrana Griseb.,Bolivia,Cochabamba,Carrasco,"Pojo, ca. 2 km del poblado de la Habana hacia Cochabamba","Laderas secas subiendo de La Habana a Llutu-Pampa. Suelo arenoso, rojizo, seco. Creciendo con Jacaranda y Schinus",2663,-17.7454166666667,-64.9331111111111,"F. Zapata, F. Huanca",311,28-Jul-2007,"Arbol 3.5 m, muy común, madera jóven rojiza, con espinas.  Este es el único individuo que encontre en este lugar con hojas relativamente verdes, los demás individuos ya habían perdido todas las hojas.",1,,,,,,,,,,,,,,,,,,,,,,,,
IV108,Escallonia millegrana Griseb.,Bolivia,Santa Cruz,Vallegrande,"Quina-Quina, 8 km al noroeste de Vallegrande",,1900,-18.4166666666667,-64.1166666666667,I.G. Vargas,108,8-Feb-1989,Arbusto de 5 m de alto de poca ramificación.  Tallo café con espinas negras. Hojas ásperas.  Inflorescencias axiales y terminales con flores blancas muy fragantes visitadas por muchas abejas y otros insectos. N.V. quebra olla,1,1,,,,,,,,,,,,,,,,,,,,,,,
IV940,Escallonia millegrana Griseb.,Bolivia,Santa Cruz,Vallegrande,"Huascañada, 5 km al S de Vallegrande",,2050,-18.5180555555556,-64.0855555555555,I.G. Vargas,940,10-Feb-1991,"Arbol de 6 m de altura; tallo café aspero, decorticans con espinas pequeñas, 8 cm de diámetro.  Inflorescencias terminales blancas muy fraganciosa, visitadas por abejas",1,1,,,,,,,,,,,,,,,,,,,,,,,
JG492,Escallonia millegrana Griseb.,Bolivia,Chuquisaca,Sud Cinti,"Puca Pampa, Aproximadamente a 5 km de Puesto ganadero, en la parte NW del Rio Alborniyoj.","Bosque Boliviano-Tucumano, rico en Podocarpaceas, Poaceas, Cyperaceas, Pterydofitos y Musgos.  Bajando hacia el rio Alborniyoj, suelo arenoso café-negro con bastante materia orgánica",1850,-20.7333333333333,-64.5,"J. Gutierrez, H., Huaylla, A. Lliully, R. León, I. Guachalla, E. Portal",492,8-Feb-2004,"Arbolito de 4 m de altura.  Flores aromáticas, corola blanca dispuestas en una panoja, flamentos balncos, tecas amarillas 4 gineceo 1",1,,,,,,,,,,,,,,,,,,,,,,,,
JS10229,Escallonia millegrana Griseb.,Bolivia,Tarija,Arce,"39.9 km S of jct of road to Entre Rios, on road to Padcaya.","Isolated pocket of Podocarpus forest with dry, open thorn-scrub (Acacia, Prosopis) below",2000,-21.9,-64.6833333333333,J.C. Solomon,10229,29-Apr-1983,"Small tree, 4 m",1,1,,,,,,,,,,,,,,,,,,,,,,,
JS10315,Escallonia millegrana Griseb.,Bolivia,Tarija,Cercado,"54.9 km E of Tarija-Padcaya road, on road to Entre Rios. Moist shrubby vegetation. Heavily disturbed.",,2050,-21.4833333333333,-64.3333333333333,J.C. Solomon,10315,1-May-1983,"Shrub, 3 m.",1,1,,,,,,,,,,,,,,,,,,,,,,,
JS17904,Escallonia millegrana Griseb.,Bolivia,Cochabamba,Carrasco,5 km al E del puente sobre el río Copachuncho por el camino entre Cochabamba y Santa Cruz.,"Zona arbustiva, semi-árida con algunos árboles (6-8 m) aislados.",2950,-17.7,-64.8666666666667,"J.C. Solomon, M. Nee",17904,5-Mar-1988,Arbusto 2.5 m,1,1,,,,,,,,,,,,,,,,,,,,,,,
JW11737,Escallonia millegrana Griseb.,Bolivia,Cochabamba,Campero,c. 10-15 km from Pena Colorada towards Aiquile,"Steep hillsides covered in dense bushland, seasonally quite dry.  On a steep scrubby bank",2000,-18.2033333333333,-64.9777777777778,J.R.I. Wood,11737,2-Feb-1997,"Small tree, 3-4 m high.  Leaves: dull green. Flowers: white",,,,,,,,,1,,,,,,,,,,,,,,,,
JW8314,Escallonia millegrana Griseb.,Bolivia,Tarija,Tarija,"Rincón de la Victoria, 15 km southwest of Tarija","Dry, brush-grown slopes.  Characterisit of drier slopes rising above Podocarpus woods in lower part of this sheltered valley.",2100,-21.8844444444444,-64.9027777777778,J. West,8314,10-Feb-1937,"Shrub to ca. 3 m, flowers cream-white",1,,,,1,,1,,,,,,,,,,,,,,,,,,
JW8984,Escallonia millegrana Griseb.,Bolivia,Chuquisaca,Sucre,c. 15 km from Sucre on road to Cochabamba,In a scrub-filled gully on a steep rocky hillside with sparse scrub,2500,-18.8472222222222,-65.2211111111111,J.R.I. Wood,8984,16-Dec-1994,Spiny shrub c 2 m high.  Petals white.,,,,,,,,,1,,,,,,,,,,,,,,,,
MS7323,Escallonia millegrana Griseb.,Bolivia,Tarija,O'Connor,"Entre Ríos, Reserva Nacional de Flora y Fauna Tariquía",Trayecto entre Entre Ríos-camino a Narváez.  Pared húmeda proximo a una quebrada.  Abunda Begonia boliviensis en floración.  EN suelos mas estables arbustos 1-2 m y arbolitos dispersos de Escalloni millegrana,1696,-21.7583333333333,-64.3058333333333,"M. Serrano, A. Liully, J. Villalobos",7323,28-Jan-2006,"Arbolito 4 m, flores blancas",1,,,,,,,,,,,,,,,,,,,,,,,,
RK3415,Escallonia millegrana Griseb.,Argentina,Jujuy,Capital,Cno. Al Cucho,,1350,-24.1666666666667,-65.2333333333333,"R. Kiesling, O. Ahumada, A.G. Lopez, A.D. Rotman",3415,7-Mar-1982,"Arbusto 3 m, flores color crema.",,1,,,,,,,,,,,,,,,,,,,,,,,
RR71,Escallonia millegrana Griseb.,Bolivia,Chuquisaca,Zudañez,"Rio Grande, Huito-Hueto",Suelos fértiles con alto contenido de materia orgánica,1228,-18.55,-64.6333333333333,"R. Coca, B. Padilla",71,29-Mar-1999,,1,,,,,,,,,,,,,,,,,,,,,,,,
WE25045,Escallonia millegrana Griseb.,Bolivia,Cochabamba,Mizque,About 3 km southwest of Vilavila,Among rocks near top of the mountain,2700,-17.9833333333333,-65.6,W.J. Eyerdam,25045,24-Mar-1939,"Fl. White. Hardwood tree with shrot spines on some of the small brnaches, rogh string bark.  Scattered",,,1,,1,,1,,1,,,,,,,,,,,,,,,,
AG22671,Escallonia micrantha Mattf.,Perú,Piura,Olmos,"46-48 km E of Olmos on road to Pucara, just W of top of Abra de Porculla","Lower montane dry forest, roadside",2000,-5.81666666666667,-79.5166666666667,"A. Gentry, M. Dillon, J. Aronson, C. Diaz",22671,10-Jun-1978,"Small tree 4 m, flowers white",1,1,1,,,,,,,,,,,,,,,,,,,,,,
AS15247,Escallonia micrantha Mattf.,Perú,Cajamarca,Contumaza,Cascas-El Chorrillo,Ladera,2100,-7.46833333333333,-78.7783333333333,"A. Sagastegui, S.Leiva, P.Lezama",15247,14-May-1994,Arbol con flores blancas,1,1,1,,,,,,,,,,,,,,,,,,,,,,
AS8791,Escallonia micrantha Mattf.,Perú,Cajamarca,San Miguel,Entre Lives y Payac,Ladera,1850,-7.08444444444444,-79.0452777777778,"A. Sagastegui, E. Alvitez, J. Mostacero",8791,11-May-1977,"Arbol con flores blancas, pequeñas.  Madera muy dura.",1,1,1,,,,,,,,,,,,,,,,,,,,,,
AS9297,Escallonia micrantha Mattf.,Perú,Cajamarca,Contumaza,La Montaña (Guzmango-Contumaza),Ladera,2500,-7.38083333333333,-78.8955555555556,"A. Sagastegui, E. Alvitez, J. Mostacero",9297,18-May-1979,Arbol  con flores blancas. N.V. Chachacomo,1,1,1,,,,,,,,,,,,,,,,,,,,,,
BK493,Escallonia micrantha Mattf.,Ecuador,Loja,Cariamanga,"Road Cariamanga-Sozoranga, km 8","Roadside scrub, mxed with pasture",1900,-4.68333333333333,-79.7166666666667,"B.B. Klitgaard, P. Lozano, T. Delgado, H. Aleyandro",493,13-Apr-1997,Tree to 4 m.  Petals white with rosa-coloured spots.  Very strongly and pleaseantly scented.  Locally common.  All individuals in flower.,1,,,,,,,,,,,,,,,,,,,,,,,,
FZ241,Escallonia micrantha Mattf.,Perú,Cajamarca,San Miguel,Carretera de Lives a Payac (ca. 3km de Lives),Bosque seco muy intrervenido; suelo húmedo.,2124,-7.07458333333333,-79.0510555555555,"F. Zapata, I. Sánchez, P. Puppo",241,28-Jun-2007,"Arbol 4 m, corteza rojiza desprendible en capas (como Myrtaceae), arquitectura tipo piramidal; hojas con hongos (manchas negras) o en proceso de secar; flores viejas; frutos secos viejos.  El árbol desde lejos se parece un poco a un arbol de mango pequeño.",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ242,Escallonia micrantha Mattf.,Perú,Cajamarca,San Miguel,Carretera de Lives a Payac (ca. 3km de Lives),Bosque seco muy intrervenido; suelo húmedo.,2124,-7.07461111111111,-79.0510833333333,"F. Zapata, I. Sánchez, P. Puppo",242,28-Jun-2007,"Arbol 3 m, corteza rojiza desprendible en capas (como Myrtaceae), arquitectura tipo piramidal; hojas con hongos (manchas negras) o en proceso de secar; flores viejas; frutos secos viejos.  El árbol desde lejos se parece un poco a un arbol de mango pequeño.",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ243,Escallonia micrantha Mattf.,Perú,Cajamarca,San Miguel,Carretera de Lives a Payac (ca. 3.5km de Lives),Bosque seco muy intrervenido; suelo húmedo.,2118,-7.07211111111111,-79.0483055555556,"F. Zapata, I. Sánchez, P. Puppo",243,28-Jun-2007,"Arbol 5 m, corteza rojiza desprendible en capas (como Myrtaceae), arquitectura tipo piramidal; hojas con hongos (manchas negras) o en proceso de secar; flores viejas; frutos secos viejos.  El árbol desde lejos se parece un poco a un arbol de mango pequeño.",1,,,,,,,,,,,,,,,,,,,,,,,,
FZ245A,Escallonia micrantha Mattf.,Perú,Cajamarca,San Miguel,Carretera de Lives a Payac (ca. 3.5km de Lives),Bosque seco muy intrervenido; suelo húmedo.,2118,-7.07222222222222,-79.0483333333333,"F. Zapata, I. Sánchez, P. Puppo",245A,28-Jun-2007,"Arbol 3 m, corteza rojiza desprendible en capas (como Myrtaceae), arquitectura tipo piramidal; hojas con hongos (manchas negras) o en proceso de secar; flores viejas; frutos secos viejos.  El árbol desde lejos se parece un poco a un arbol de mango pequeño.",1,,,,,,,,,,,,,,,,,,,,,,,,
MD6482,Escallonia micrantha Mattf.,Perú,La Libertad,Otuzco,"Near Chorirro, between Cascas and Contumazá",,1900,-7.41666666666667,-78.7166666666667,"M.O. Dillon, A. Sagastegui, S. Leiva, P. Lezama, P Chuno",6482,17-May-1993,Shrubs to 8 m; flowers white,,,1,,,,,,,,,,,,,,,,,,,,,,
PJ98,Escallonia micrantha Mattf.,Ecuador,Loja,Cerro de Celica,"Celica-Guachanam·, 6-7.5 km",Roadside hedges and pastures.,2400,-4.09166666666667,-79.9333333333333,"P.M. Jørgensen, C. Ulloa, H. Vargas & G. Abendaño",98,12-Apr-1994,Tree 3-6 m. Flowers pink. Pleasant sweet smell.,1,1,,,,,,,,,,,,,,,,,,,,,,,
EN7235,Escallonia serrata Sm.,Argentina,Tierra del Fuego,Isla de los Estados,Puerto Vancouver,,60,-54.7833333333333,-64.0833333333333,"E.G. Nicora, S. Crespo, E. Ancibar",7235,28-Nov-1967,"Arbusto de 2 m de altura aproximadamente, debajo de Nothofagus, flor blanca a orillas del mar; abundante",,,,,,,,1,,,,,,,,,,,,,,,,,
EP3057,Escallonia serrata Sm.,Chile,Tierra del Fuego,Fiordo Parry,Bahia Cuevas,En lugares húmedos y sombríos a orillas de turbales,150,-53.1833333333333,-72.1,E. Pisano,3057,18-Feb-1971,Escaso,,,,,,,1,,,,,,,,,,,,,,,,,,
EP5372,Escallonia serrata Sm.,Chile,Tierra del Fuego,Isla Grevy,"Arch. Cabo de Hornos Rada Norte, Ba. Gretten","Matorral costero, sobre rocas.",10,-55.5383333333333,-67.6141666666667,E. Pisano,5372,15-Jan-1982,,,,,,,,1,,,,,,,,,,,,,,,,,,
FB487,Escallonia serrata Sm.,Argentina,Tierra del Fuego,Isla de los Estados,"Puerto Parry, zona de la costa izquierda del puesto de la Armada",En escalón encima de la marea hasta el interior del bosque de guindo,20,-54.7666666666667,-64.3666666666667,F. Biganzoli,487,22-Nov-1998,"Arbusto 2 m, flores blancas, ovario morado, estilo verde.",1,,,,,,,,,,,,,,,,,,,,,,,,
FR5437,Escallonia serrata Sm.,Chile,Magallanes,Ultima Esperanza,"Puerto Bella Vista, Cerro Transecta",,170,-52.375,-71.2969444444444,"F. Roig, O. Dollenz, E. Mendez",5437,10-Dec-1979,Flor blanca rosada,,,,,,,,,,,,,,,1,,,,,,,,,,
GP28629,Escallonia serrata Sm.,Chile,Magallanes,Isla Hornos,,,30,-55.9666666666667,-67.2166666666667,G.T. Prance,28629,14-Dec-1983,"Shrub 1 m, petals white",1,1,,,,,,,1,,,,,,,,,,,,,,,,
GP28668,Escallonia serrata Sm.,Chile,Tierra del Fuego,Isla Georgiana,Brecknoch channel near Pta Ueth,,50,-54.6166666666667,-71.7333333333333,G.T. Prance,28668,15-Dec-1983,"Postrate shrub, petals white",1,1,,,,,,,,,,,,,,,,,,,,,,,
JBs.n.,Escallonia serrata Sm.,Argentina,Tierra del Fuego,,,,,,,J. Banks & D. Solander,s.n.,January-1769,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,
KC1662A,Escallonia serrata Sm.,Argentina,Tierra del Fuego,About mdway between Estancia Heberton and Estancia Moat,"At ca. 70 km of mileage sing of RC-j, north of Canal Beagle",Top of hill,130,-54.9372222222222,-66.9283333333333,"K.F. Chung, C.L. Wu",1662A,8-Dec-2005,"Small shrub on top of the hill, more than 20 plants found, peak anthesis, flowers white",1,,,,,,,,,,,,,,,,,,,,,,,,
KC1662C,Escallonia serrata Sm.,Argentina,Tierra del Fuego,About midway between Estancia Heberton and Estancia Moat,"At ca. 70 km of mileage sing of RC-j, north of Canal Beagle",Top of hill,130,-54.9372222222222,-66.9283333333333,"K.F. Chung, C.L. Wu",1662C,8-Dec-2005,"Small shrub on the top of the hill, more than 20 plants found, peak anthesis, flowers white",1,,,,,,,,,,,,,,,,,,,,,,,,
KF165,Escallonia serrata Sm.,Chile,Magallanes,Capitán Aracena,Ba. Morri,"Coast. In wet areas with Pernettya mucronata, Nothofagus betuloides, Philesia magellanica",5,-54.2333333333333,-71.025,K.E. Freas,165,9-Feb-1983,Shrub to 1 m tall. Flowers white.,,,1,,,,,,,,,,,,,,,,,,,,,,
LLs.n.,Escallonia serrata Sm.,Chile,Magallanes,Ultima Esperanza,"Strait of Magallanes, Port Churruca",,100,-53.3361111111111,-73.85,L.A. Lee,s.n.,2-Feb-1888,,,,,1,,,,,,,,,,,,,,,,,,,,,
MG81,Escallonia serrata Sm.,Argentina,Tierra del Fuego,Canal Beagle,Puerto Remolino,,5,-54.8613888888889,-67.87,M. Gusinde,81,1-Mar-1922,,1,,,,,,,1,1,,,,,,,,,,,,,,,,
NG1065,Escallonia serrata Sm.,Argentina,Tierra del Fuego,No Top Mountain,Poste Fierro,"At base of mountain, sea level, on rocks over beach.",5,-54.8333333333333,-67.3333333333333,R.N.P. Goodall,1065,15-Dec-1967,In bud and blossoms,,,,1,1,,,,,1,,,,,,,,,,,,,,,
PD712,Escallonia serrata Sm.,Chile,Tierra del Fuego,Isla Desolación,,,100,-53.25,-73.8333333333333,P. Dusén,s.n.,1-Aug-1896,,1,,,,,,,,,,,,,1,,,,,,,,,,,
RC1866,Escallonia serrata Sm.,Chile,Magallanes,Ultima Esperanza,"Strait of Magallanes, Playa Parda cove, north side",,40,-53.3166666666667,-73,R.O. Cunningham,1866-69,1-Mar-1866,,,,,,,,1,,,,,,,,,,,,,,,,,,
RL1738,Escallonia serrata Sm.,Argentina,Tierra del Fuego,Puerto Remolino,,,400,-54.8466666666667,-67.8625,R.L.H.,1738,11-Mar-1950,"En alturas, flores blanco-amarillentas",,,,,,,,,,,,,,1,,,,,,,,,,,
TB2876,Escallonia serrata Sm.,Chile,Magallanes,Ultima Esperanza,"Peninsula Roca, Seno Resi, lado S","Matorral costero, sitios húmedos y claros",50,-51.85,-73.0333333333333,T.B.P.A.,2876,24-Jan-1978,Comun,,,,,,,,1,,,,,,,,,,,,,,,,,
